ID	Database	Citation
12169433	Pubmed	"IRS proteins and the common path to diabetes. White MF. Am J Physiol Endocrinol Metab. 2002 Sep;283(3):E413-22.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/12169433"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/12169433"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/12169433"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
17604717	Pubmed	"AKT/PKB signaling: navigating downstream. Manning BD, Cantley LC. Cell. 2007 Jun 29;129(7):1261–74.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/17604717"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/17604717"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/17604717"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
